iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
POST,POST HOLDINGS INC,Equity,0.29,75.76,"1,694,089.00","128,344,182.64","128,344,182.64",Consumer Staples,B6T0518,US7374461041,New York Stock Exchange Inc.
DST,DST SYSTEMS INC,Equity,0.29,83.65,"1,531,163.00","128,081,784.95","128,081,784.95",Information Technology,2282947,US2333261079,New York Stock Exchange Inc.
CRI,CARTERS INC,Equity,0.28,104.1,"1,222,550.00","127,267,455.00","127,267,455.00",Consumer Discretionary,2980939,US1462291097,New York Stock Exchange Inc.
CONE,CYRUSONE REIT INC,Equity,0.28,51.21,"2,483,337.00","127,171,687.77","127,171,687.77",Real Estate,B7YRLH9,US23283R1005,NASDAQ
TRN,TRINITY INDUSTRIES INC,Equity,0.28,32.63,"3,896,323.00","127,137,019.49","127,137,019.49",Industrials,2904627,US8965221091,New York Stock Exchange Inc.
DNKN,DUNKIN BRANDS GROUP INC,Equity,0.28,59.69,"2,124,943.00","126,837,847.67","126,837,847.67",Consumer Discretionary,B3LHT03,US2655041000,NASDAQ
BLKB,BLACKBAUD INC,Equity,0.28,101.81,"1,242,050.00","126,453,110.50","126,453,110.50",Information Technology,2458878,US09227Q1004,NASDAQ
SIX,SIX FLAGS ENTERTAINMENT CORP,Equity,0.28,62.26,"2,027,345.00","126,222,499.70","126,222,499.70",Consumer Discretionary,B43VKB8,US83001A1025,New York Stock Exchange Inc.
ROL,ROLLINS INC,Equity,0.28,51.03,"2,471,774.00","126,134,627.22","126,134,627.22",Industrials,2747305,US7757111049,New York Stock Exchange Inc.
UTHR,UNITED THERAPEUTICS CORP,Equity,0.28,112.36,"1,117,028.00","125,509,266.08","125,509,266.08",Health Care,2430412,US91307C1027,NASDAQ
SLM,SLM CORP,Equity,0.28,11.21,"11,161,395.00","125,119,237.95","125,119,237.95",Financials,2101967,US78442P1066,NASDAQ
WTFC,WINTRUST FINANCIAL CORP,Equity,0.28,86.05,"1,453,212.00","125,048,892.60","125,048,892.60",Financials,2425258,US97650W1080,NASDAQ
TDC,TERADATA CORP,Equity,0.28,39.67,"3,147,996.00","124,881,001.32","124,881,001.32",Information Technology,B247H10,US88076W1036,New York Stock Exchange Inc.
SABR,SABRE CORP,Equity,0.28,21.45,"5,800,047.00","124,411,008.15","124,411,008.15",Information Technology,BLLHH27,US78573M1045,NASDAQ
